GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
01982	36720133	1913529	14.178	0.739	42.626223	-70.85723
01983	30843011	2336369	11.909	0.902	42.641387	-70.943383
01984	19835916	1249329	7.659	0.482	42.600668	-70.88326
01985	34828194	3308938	13.447	1.278	42.799565	-70.964428
02019	47510480	1428200	18.344	0.551	42.076682	-71.47449
02021	48661778	2112846	18.788	0.816	42.175737	-71.125385
02025	25346277	2758665	9.786	1.065	42.236444	-70.814309
02026	26537537	1044815	10.246	0.403	42.246872	-71.179462
02030	39100737	878541	15.097	0.339	42.23416	-71.291167
02032	6056006	156977	2.338	0.061	42.156882	-71.216187
02035	51426040	2574077	19.856	0.994	42.061338	-71.245802
02038	68996348	1008370	26.64	0.389	42.084858	-71.410571
02043	57445945	2268107	22.18	0.876	42.216098	-70.88127
02045	6918699	14201158	2.671	5.483	42.292253	-70.923919
02047	619342	21840	0.239	0.008	42.134144	-70.686313
02048	52069118	822341	20.104	0.318	42.017302	-71.21642
02050	75371019	10896215	29.101	4.207	42.115139	-70.710331
02052	37319156	597407	14.409	0.231	42.184599	-71.305307
02053	29878745	341810	11.536	0.132	42.156203	-71.430345
02054	31164876	629026	12.033	0.243	42.173103	-71.363756
